,Judge_Name,Judge_Reject,Judge_Impose,Judge_Impose2,Def_Race,Court,Def_Gender,AnyCriminalHistory,crimetype_people,crimetype_violent,crimetype_property,crimetype_drug,crimetype_mva,crimetype_financial,crimetype_firearms,days_btwn_arrest_plea,days_btwn_plea_tender,DefAttorneyType,X1stCharge_Status,X1stPROS_SentLength,X1stPROS_ProbLength,X1stPROS_SentenceType,RehabTreatment,X1stPROS_Prison.,X1stPROS_Probation
10,Kyle White,Yes,Yes,Unknown,Black,Not yet determined,Male,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,990.0,608.0,a court-appointed lawyer,Continuance without a finding,4.0,4.0,Probation,Yes,Yes,Yes
11,Marie Green,Yes,No,Less,Other,District Court,Male,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,669.0,639.0,a private attorney,267/87,9.0,43.0,House of Corrections,Yes,No,Yes
12,Matthew Perez,No,No,Unclear,Black,Superior Court,Male,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,933.0,307.0,a court-appointed lawyer,Nolle Prosequi,0.0,18.0,"State Prison,Probation",Yes,Yes,Yes
13,Paul Russell,No,No,Less,Unknown,Superior Court,Male,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,688.0,426.0,from CPCS,Other,2.0,42.0,House of Corrections,Yes,No,Yes
14,Marie Green,No,No,Unknown,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,458.0,794.0,from CPCS,Continuance without a finding,6.0,2.0,State Prison,No,Yes,No
15,Roger Hensley,No,No,Unknown,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,769.0,217.0,a private attorney,Nolle Prosequi,7.0,46.0,County/Split,No,No,Yes
16,Julia Obrien,Yes,Yes,Less,Unknown,Not yet determined,Female,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,646.0,170.0,a court-appointed lawyer,Other,0.0,46.0,"State Prison,Probation",Yes,Yes,No
17,Roger Hensley,Yes,Yes,More,White,Not yet determined,Female,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,423.0,736.0,a court-appointed lawyer,Other,3.0,27.0,"State Prison,Probation",No,No,No
18,Kyle White,Yes,No,Unknown,Hispanic,Not yet determined,Male,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,892.0,182.0,from CPCS,Continuance without a finding,10.0,29.0,County/Split,Yes,No,Yes
19,Rebecca Becker,Yes,Yes,Less,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,680.0,472.0,a private attorney,267/87,9.0,13.0,House of Corrections,Yes,Yes,Yes
20,Gregory Wilkins,No,Yes,More,Other,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,531.0,160.0,unknown,Continuance without a finding,4.0,4.0,House of Corrections,No,Yes,No
21,Matthew Perez,Yes,No,Unknown,Black,District Court,Female,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,982.0,231.0,a private attorney,Continuance without a finding,6.0,20.0,"State Prison,Probation",Yes,No,Yes
22,Kyle White,No,No,Unknown,Black,District Court,Female,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,716.0,557.0,unknown,Dismissed,10.0,33.0,House of Corrections,No,No,Yes
23,Roger Hensley,No,No,More,Black,Not yet determined,Female,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,462.0,333.0,unknown,Continuance without a finding,4.0,21.0,House of Corrections,Yes,No,No
24,Marie Green,Yes,No,Less,Black,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,889.0,478.0,a private attorney,Nolle Prosequi,3.0,45.0,House of Corrections,Yes,Yes,No
25,Roger Hensley,No,No,Unclear,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,177.0,15.0,a court-appointed lawyer,Nolle Prosequi,9.0,18.0,"State Prison,Probation",Yes,No,No
26,Matthew Perez,Yes,Yes,Unclear,Other,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,263.0,589.0,a court-appointed lawyer,Guilty verdict/finding,6.0,48.0,Probation,Yes,Yes,No
27,Zachary Mccall,No,Yes,More,Black,Superior Court,Female,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,798.0,648.0,a court-appointed lawyer,Continuance without a finding,9.0,28.0,"State Prison,Probation",Yes,No,Yes
28,Kyle White,Yes,No,Unclear,Other,Superior Court,Male,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,903.0,723.0,unknown,Dismissed,9.0,11.0,House of Corrections,Yes,Yes,No
29,Marie Green,No,No,Unknown,White,Superior Court,Female,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,558.0,105.0,from CPCS,Continuance without a finding,6.0,39.0,County/Split,Yes,Yes,Yes
30,Matthew Perez,No,Yes,More,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,726.0,38.0,unknown,Guilty verdict/finding,2.0,44.0,State Prison,No,No,No
31,Paul Russell,No,No,More,Unknown,Superior Court,Female,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,407.0,799.0,from CPCS,Dismissed,4.0,32.0,House of Corrections,No,Yes,No
32,Gregory Wilkins,Yes,Yes,Less,Hispanic,Not yet determined,Female,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,973.0,327.0,from CPCS,Nolle Prosequi,6.0,45.0,House of Corrections,Yes,No,No
33,Zachary Mccall,No,Yes,Less,Other,District Court,Male,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,175.0,225.0,from CPCS,267/87,10.0,12.0,"State Prison,Probation",No,Yes,No
34,Gregory Wilkins,Yes,No,Less,Other,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,655.0,179.0,a private attorney,Other,0.0,8.0,"State Prison,Probation",Yes,No,No
35,Kyle White,Yes,Yes,Less,Black,District Court,Female,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,614.0,798.0,a court-appointed lawyer,267/87,3.0,48.0,House of Corrections,No,Yes,Yes
36,Roger Hensley,No,No,Unknown,Black,Not yet determined,Female,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,682.0,257.0,a private attorney,267/87,8.0,20.0,County/Split,No,Yes,Yes
37,Rebecca Becker,No,No,Less,Hispanic,Not yet determined,Male,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,954.0,49.0,from CPCS,Guilty verdict/finding,6.0,6.0,County/Split,No,Yes,Yes
38,Zachary Mccall,Yes,Yes,More,Hispanic,Not yet determined,Male,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,800.0,157.0,unknown,Guilty verdict/finding,7.0,48.0,State Prison,Yes,Yes,Yes
39,Kaitlin Flores,No,Yes,Unclear,Hispanic,Superior Court,Male,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,909.0,471.0,from CPCS,Other,5.0,42.0,Probation,Yes,Yes,No
40,Julia Obrien,Yes,No,Less,Hispanic,Superior Court,Female,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,951.0,116.0,a court-appointed lawyer,Continuance without a finding,9.0,25.0,Probation,Yes,No,No
41,Paul Russell,Yes,No,Unknown,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,781.0,154.0,from CPCS,Continuance without a finding,4.0,10.0,Probation,No,No,Yes
42,Julia Obrien,Yes,Yes,More,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,371.0,206.0,from CPCS,Dismissed,6.0,11.0,Probation,No,No,Yes
43,Zachary Mccall,No,Yes,Unclear,White,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,781.0,350.0,unknown,Continuance without a finding,10.0,34.0,House of Corrections,Yes,Yes,No
44,Paul Russell,No,No,More,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,779.0,620.0,a private attorney,Guilty verdict/finding,1.0,3.0,State Prison,Yes,No,No
45,Zachary Mccall,No,Yes,Unclear,White,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,554.0,563.0,a private attorney,Guilty verdict/finding,5.0,28.0,House of Corrections,Yes,No,Yes
46,Kaitlin Flores,No,Yes,Unclear,Hispanic,Not yet determined,Female,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,962.0,700.0,a court-appointed lawyer,Dismissed,7.0,19.0,County/Split,Yes,No,Yes
47,Rebecca Becker,Yes,Yes,More,Unknown,District Court,Female,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,168.0,507.0,a court-appointed lawyer,267/87,8.0,33.0,Probation,Yes,No,Yes
48,Rebecca Becker,No,No,More,Hispanic,Superior Court,Female,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,227.0,712.0,a private attorney,267/87,5.0,14.0,House of Corrections,No,No,Yes
49,Matthew Perez,No,Yes,Less,Unknown,District Court,Male,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,418.0,165.0,from CPCS,Guilty verdict/finding,7.0,37.0,House of Corrections,No,No,No
50,Rebecca Becker,No,No,More,White,District Court,Female,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,421.0,440.0,from CPCS,267/87,7.0,42.0,Probation,No,No,No
51,Zachary Mccall,No,No,Unknown,Unknown,Not yet determined,Male,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,421.0,786.0,from CPCS,Continuance without a finding,4.0,22.0,County/Split,No,No,No
52,Paul Russell,Yes,No,More,Hispanic,Superior Court,Male,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,669.0,344.0,a private attorney,Other,9.0,33.0,House of Corrections,No,Yes,No
53,Kaitlin Flores,Yes,No,More,Other,District Court,Male,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,19.0,from CPCS,Nolle Prosequi,10.0,36.0,"State Prison,Probation",Yes,Yes,Yes
54,Gregory Wilkins,Yes,Yes,Unclear,Black,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,930.0,714.0,unknown,267/87,5.0,35.0,"State Prison,Probation",No,Yes,No
55,Kyle White,Yes,No,Less,Unknown,District Court,Female,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,441.0,unknown,Guilty verdict/finding,9.0,43.0,Probation,No,Yes,No
56,Marie Green,No,No,Less,Unknown,Not yet determined,Female,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,772.0,236.0,a private attorney,267/87,1.0,31.0,Probation,No,Yes,No
57,Paul Russell,Yes,Yes,More,Unknown,Superior Court,Male,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,271.0,82.0,a court-appointed lawyer,267/87,5.0,40.0,House of Corrections,Yes,Yes,Yes
58,Rebecca Becker,Yes,Yes,Unknown,White,District Court,Male,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,261.0,318.0,from CPCS,Other,8.0,3.0,State Prison,No,Yes,Yes
59,Julia Obrien,Yes,No,Less,Other,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,405.0,a private attorney,Guilty verdict/finding,9.0,4.0,"State Prison,Probation",No,No,No
60,Marie Green,Yes,Yes,Unknown,Other,Superior Court,Female,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,147.0,60.0,from CPCS,Other,1.0,21.0,"State Prison,Probation",No,No,Yes
61,Paul Russell,No,No,Unclear,Hispanic,Not yet determined,Female,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,775.0,61.0,a court-appointed lawyer,267/87,7.0,25.0,County/Split,No,Yes,No
62,Marie Green,Yes,Yes,More,White,Not yet determined,Male,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,601.0,277.0,unknown,Nolle Prosequi,3.0,17.0,"State Prison,Probation",No,Yes,Yes
63,Kaitlin Flores,Yes,Yes,Unknown,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,314.0,227.0,a private attorney,Continuance without a finding,7.0,42.0,County/Split,Yes,Yes,No
64,Matthew Perez,No,No,Unclear,Black,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,478.0,719.0,a private attorney,Other,7.0,15.0,State Prison,Yes,Yes,Yes
65,Matthew Perez,Yes,No,Less,Black,Not yet determined,Female,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,441.0,280.0,a private attorney,Nolle Prosequi,2.0,16.0,"State Prison,Probation",Yes,No,Yes
66,Paul Russell,No,No,Less,Unknown,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,474.0,398.0,a private attorney,267/87,7.0,47.0,County/Split,No,Yes,No
67,Rebecca Becker,No,No,Unclear,Other,Not yet determined,Female,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,221.0,81.0,a private attorney,Continuance without a finding,9.0,33.0,"State Prison,Probation",No,No,No
68,Marie Green,Yes,Yes,More,Unknown,Superior Court,Female,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,134.0,51.0,from CPCS,Nolle Prosequi,6.0,10.0,County/Split,No,No,Yes
69,Kaitlin Flores,No,Yes,Unclear,Black,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,380.0,733.0,from CPCS,Continuance without a finding,4.0,10.0,"State Prison,Probation",No,No,Yes
70,Rebecca Becker,Yes,No,Unclear,Black,Not yet determined,Male,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,357.0,502.0,from CPCS,Guilty verdict/finding,7.0,47.0,"State Prison,Probation",Yes,No,No
71,Kyle White,Yes,No,More,Hispanic,District Court,Male,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,755.0,a court-appointed lawyer,Guilty verdict/finding,8.0,11.0,Probation,Yes,No,No
72,Julia Obrien,No,Yes,Unclear,White,Superior Court,Male,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,454.0,320.0,a court-appointed lawyer,Dismissed,1.0,37.0,State Prison,Yes,No,Yes
73,Zachary Mccall,Yes,Yes,Less,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,172.0,792.0,unknown,267/87,4.0,10.0,State Prison,No,No,No
74,Matthew Perez,Yes,No,Unknown,White,Superior Court,Male,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,142.0,406.0,a court-appointed lawyer,Guilty verdict/finding,8.0,15.0,House of Corrections,Yes,Yes,No
75,Paul Russell,No,No,More,Unknown,Superior Court,Male,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,479.0,34.0,a court-appointed lawyer,267/87,5.0,0.0,State Prison,Yes,No,Yes
76,Kaitlin Flores,No,No,Unclear,Unknown,District Court,Female,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,149.0,476.0,from CPCS,267/87,9.0,33.0,"State Prison,Probation",No,No,No
77,Matthew Perez,No,Yes,Unclear,Hispanic,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,296.0,58.0,a private attorney,Other,2.0,12.0,House of Corrections,Yes,Yes,Yes
78,Paul Russell,Yes,No,Unknown,White,Not yet determined,Female,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,441.0,741.0,a court-appointed lawyer,Continuance without a finding,0.0,49.0,Probation,Yes,Yes,No
79,Gregory Wilkins,No,Yes,More,Hispanic,Superior Court,Male,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,880.0,342.0,unknown,Nolle Prosequi,6.0,30.0,Probation,No,Yes,No
80,Kyle White,No,Yes,Unclear,Other,District Court,Female,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,723.0,330.0,unknown,Other,8.0,33.0,Probation,Yes,Yes,Yes
81,Kaitlin Flores,No,Yes,More,Hispanic,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,336.0,680.0,a court-appointed lawyer,Nolle Prosequi,1.0,17.0,Probation,Yes,No,Yes
82,Zachary Mccall,No,Yes,Less,Black,District Court,Male,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,317.0,37.0,from CPCS,Dismissed,4.0,3.0,House of Corrections,No,Yes,Yes
83,Roger Hensley,No,Yes,Unclear,Hispanic,District Court,Male,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,585.0,326.0,a private attorney,Nolle Prosequi,3.0,15.0,"State Prison,Probation",Yes,Yes,Yes
84,Roger Hensley,Yes,No,More,Unknown,District Court,Female,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,803.0,331.0,a court-appointed lawyer,Dismissed,5.0,38.0,State Prison,No,No,No
85,Paul Russell,Yes,Yes,Less,Unknown,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,168.0,121.0,a private attorney,Nolle Prosequi,0.0,2.0,State Prison,Yes,Yes,No
86,Marie Green,Yes,Yes,Less,Black,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,253.0,18.0,unknown,Nolle Prosequi,7.0,30.0,"State Prison,Probation",Yes,Yes,No
87,Gregory Wilkins,Yes,Yes,Unclear,Black,District Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,344.0,128.0,from CPCS,Other,1.0,29.0,House of Corrections,No,No,No
88,Kyle White,Yes,Yes,Unclear,Black,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,913.0,668.0,from CPCS,Continuance without a finding,2.0,40.0,County/Split,Yes,No,Yes
89,Rebecca Becker,Yes,No,Unclear,White,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,445.0,172.0,a private attorney,Continuance without a finding,10.0,8.0,Probation,No,No,No
90,Julia Obrien,No,Yes,Unclear,White,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,632.0,292.0,unknown,Nolle Prosequi,0.0,37.0,County/Split,Yes,Yes,Yes
91,Rebecca Becker,No,Yes,More,Black,District Court,Male,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,388.0,295.0,a court-appointed lawyer,Other,4.0,22.0,Probation,Yes,No,No
92,Gregory Wilkins,Yes,Yes,Unclear,Black,Not yet determined,Female,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,407.0,294.0,from CPCS,267/87,2.0,46.0,Probation,No,Yes,No
93,Kaitlin Flores,No,Yes,Unclear,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,884.0,444.0,a court-appointed lawyer,Guilty verdict/finding,9.0,1.0,State Prison,Yes,Yes,Yes
94,Kaitlin Flores,No,Yes,Unclear,Unknown,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,724.0,799.0,unknown,Dismissed,5.0,0.0,Probation,No,Yes,No
95,Roger Hensley,No,No,More,White,Superior Court,Female,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,819.0,264.0,from CPCS,Other,10.0,15.0,State Prison,Yes,No,Yes
96,Matthew Perez,No,Yes,More,Hispanic,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,448.0,190.0,a private attorney,Nolle Prosequi,6.0,23.0,State Prison,No,Yes,Yes
97,Rebecca Becker,Yes,Yes,Less,Unknown,District Court,Female,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,153.0,586.0,from CPCS,Dismissed,3.0,23.0,"State Prison,Probation",No,No,No
98,Paul Russell,No,Yes,Less,Other,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,389.0,543.0,a private attorney,267/87,1.0,7.0,County/Split,Yes,No,No
99,Kyle White,Yes,No,More,Hispanic,Superior Court,Female,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,255.0,109.0,from CPCS,Nolle Prosequi,4.0,27.0,County/Split,No,Yes,Yes
100,Zachary Mccall,No,Yes,Less,Black,Superior Court,Male,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,342.0,428.0,a court-appointed lawyer,267/87,4.0,28.0,House of Corrections,Yes,Yes,No
101,Julia Obrien,Yes,Yes,Less,Black,District Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,463.0,140.0,a private attorney,Nolle Prosequi,10.0,20.0,House of Corrections,No,Yes,Yes
102,Zachary Mccall,Yes,Yes,Unknown,Other,Not yet determined,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,896.0,681.0,from CPCS,Guilty verdict/finding,6.0,24.0,House of Corrections,No,Yes,Yes
103,Matthew Perez,No,Yes,Unknown,Unknown,Superior Court,Male,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,408.0,760.0,a private attorney,Other,3.0,16.0,Probation,Yes,No,No
104,Paul Russell,Yes,Yes,More,White,District Court,Female,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,653.0,576.0,a private attorney,Dismissed,5.0,18.0,"State Prison,Probation",Yes,Yes,No
105,Kaitlin Flores,Yes,No,Unclear,White,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,550.0,168.0,from CPCS,267/87,7.0,8.0,State Prison,No,Yes,Yes
106,Gregory Wilkins,No,Yes,Less,White,Not yet determined,Female,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,334.0,533.0,a court-appointed lawyer,Dismissed,7.0,22.0,County/Split,Yes,No,Yes
107,Kyle White,Yes,Yes,Less,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124.0,631.0,a private attorney,Guilty verdict/finding,5.0,11.0,"State Prison,Probation",No,Yes,Yes
108,Paul Russell,Yes,No,Less,Other,Not yet determined,Female,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,748.0,105.0,from CPCS,Dismissed,4.0,30.0,"State Prison,Probation",No,Yes,Yes
109,Rebecca Becker,No,Yes,Unclear,White,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,820.0,700.0,from CPCS,Nolle Prosequi,7.0,33.0,Probation,No,Yes,Yes
110,Kaitlin Flores,Yes,No,Unknown,Black,Not yet determined,"Other (please specify their preferred gender identity, if known)",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,167.0,721.0,a court-appointed lawyer,Guilty verdict/finding,3.0,22.0,State Prison,Yes,No,No
111,Zachary Mccall,No,No,Less,Other,District Court,Female,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,715.0,268.0,a court-appointed lawyer,Other,1.0,7.0,State Prison,No,Yes,No
112,Rebecca Becker,Yes,Yes,Less,White,District Court,Male,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,447.0,572.0,a private attorney,Dismissed,3.0,0.0,State Prison,Yes,Yes,Yes
113,Zachary Mccall,Yes,Yes,Unclear,Hispanic,Not yet determined,Male,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,534.0,596.0,a private attorney,267/87,5.0,43.0,Probation,Yes,No,No
114,Kaitlin Flores,No,No,Unknown,Hispanic,District Court,"Other (please specify their preferred gender identity, if known)",0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,621.0,294.0,from CPCS,Nolle Prosequi,9.0,21.0,House of Corrections,No,Yes,No
115,Rebecca Becker,Yes,Yes,Less,Other,Not yet determined,Male,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,385.0,421.0,a court-appointed lawyer,Guilty verdict/finding,2.0,30.0,County/Split,No,Yes,Yes
